Pays,Année,geo,Population,Température,Code,CO2,Catastrophes_totales,Cold wave,Ground movement,Avalanche (wet),Flood (General),Flash flood,Storm (General),Blizzard/Winter storm,Landslide (wet),Heat wave,Forest fire,Tropical cyclone,Severe weather,Hail,Tornado
Indonesia,2000,idn,216077790,28.34871794871795,IDN,1386973000,10,0,5,0,0,2,0,0,2,0,1,0,0,0,0
Ireland,2000,irl,3802585,9.412112932604737,IRL,77347770,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Israel,2000,isr,6111190,21.023896499238965,ISR,68774340,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Italy,2000,ita,57272196,14.465496276029793,ITA,537012500,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Japan,2000,jpn,127027789,13.267304189435338,JPN,1324315900,5,0,2,0,0,0,0,0,0,0,0,2,0,1,0
Jordan,2000,jor,5386945,17.701426836672738,JOR,18838758,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kazakhstan,2000,kaz,15501103,10.009562841530055,KAZ,146771800,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kenya,2000,ken,30642890,18.866666666666667,KEN,63860620,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,2000,prk,23665910,10.616497383810403,PRK,94478230,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Republic of Korea,2000,kor,46766661,11.31982392228294,KOR,474523400,5,0,0,0,1,1,0,0,0,0,1,2,0,0,0
Kuwait,2000,kwt,1954709,26.823466909532485,KWT,84703870,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2000,lva,2368313,8.687214611872147,LVA,4953418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,2000,lbn,4329340,20.79083181542198,LBN,18181398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,2000,mdg,16516338,18.396663427275673,MDG,129014560,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Malawi,2000,mwi,11315942,19.14297385620915,MWI,24540990,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Malaysia,2000,mys,22967816,27.653928790669124,MYS,237723330,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mauritania,2000,mrt,2613441,25.323611111111113,MRT,11611958,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2000,mex,98625552,20.533266466064862,MEX,700850700,7,1,1,0,2,1,0,0,0,0,0,1,1,0,0
Mongolia,2000,mng,2455182,-1.0951730418943533,MNG,52846268,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Morocco,2000,mar,28423435,17.418032786885245,MAR,59756204,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Mozambique,2000,moz,18129653,23.4352153456388,MOZ,66909068,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0
Myanmar,2000,mmr,45290841,27.136392009987517,MMR,207812030,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namibia,2000,nam,1818647,20.020144790683034,NAM,14537850,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nepal,2000,npl,24546509,18.75944081336238,NPL,45445880,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
New Zealand,2000,nzl,3857574,15.495129375951294,NZL,86713330,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Nicaragua,2000,nic,5022633,27.458024691358027,NIC,85697360,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Nigeria,2000,nga,126382494,29.14549131572686,NGA,565810700,9,0,0,0,5,1,1,0,2,0,0,0,0,0,0
Norway,2000,nor,4490867,6.463418336369156,NOR,72012216,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Oman,2000,omn,2282131,NA,OMN,50463740,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,2000,pak,154879127,26.228741965105602,PAK,286080900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Panama,2000,pan,3010369,27.366879174256226,PAN,27123436,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Peru,2000,per,26598331,18.723287671232878,PER,154180450,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Philippines,2000,phl,79625397,27.724650880388587,PHL,179037680,7,0,0,0,0,1,0,0,0,0,0,6,0,0,0
Poland,2000,pol,38258071,9.651639344262296,POL,399413300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,2000,prt,10283204,16.820279295689133,PRT,83724280,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Qatar,2000,qat,644989,27.92714025500911,QAT,77916344,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2000,rou,22046262,12.126442015786278,ROU,122108100,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Russian Federation,2000,rus,146717783,9.452489374620523,RUS,1885174000,16,3,1,1,4,0,0,0,1,0,5,1,0,0,0
Saudi Arabia,2000,sau,16177722,26.626442015786278,SAU,389804900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,2000,sen,9968260,24.217630853994493,SEN,20144158,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2000,sle,4423611,NA,SLE,29654398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,2000,zaf,47159719,17.01001821493625,ZAF,511406460,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Spain,2000,esp,41019774,14.824225865209472,ESP,366208350,5,0,0,0,1,1,2,0,0,0,1,0,0,0,0
Sri Lanka,2000,lka,19293054,27.233333333333334,LKA,31796866,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Suriname,2000,sur,476643,26.533854166666668,SUR,5505842,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,2000,swe,8872101,8.48816029143898,SWE,76524950,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,2000,che,7184007,10.590043553124683,CHE,52144336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Taiwan (Province of China),2000,twn,22332870,22.901664730933025,TWN,245177340,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Tajikistan,2000,tjk,6284735,16.124913733609386,TJK,7073899.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,2000,tha,63007815,27.943078324225866,THA,328485060,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Togo,2000,tgo,5140037,27.31244196843083,TGO,10923250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,2000,tun,9764935,19.510928961748636,TUN,31359122,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkmenistan,2000,tkm,4582677,17.90209471766849,TKM,82045960,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,2000,uga,24000150,22.15065586419753,UGA,44063960,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ukraine,2000,ukr,49556660,9.460078931390408,UKR,382199650,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0
United Arab Emirates,2000,are,3493575,27.958333333333336,ARE,149021310,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,2000,usa,281484131,13.402669972075,USA,7068609500,26,0,1,0,3,2,2,2,0,1,7,1,1,0,6
Uruguay,2000,ury,3266206,15.785540334855403,URY,30117978,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Uzbekistan,2000,uzb,24787054,15.992410443230115,UZB,178936130,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,2000,zmb,10017631,22.656902356902357,ZMB,53798230,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,2001,alb,3147943,16.242,ALB,6906126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,2001,dza,31331221,18.14992389649924,DZA,175084430,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2001,arg,37624825,17.411019536019538,ARG,375234980,6,1,0,0,2,0,2,0,0,0,1,0,0,0,0
Australia,2001,aus,19365433,16.79392551892552,AUS,726141760,4,0,0,0,1,0,2,0,0,0,0,0,1,0,0
Austria,2001,aut,8042233,10.457229832572299,AUT,80561890,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2001,bhs,327836,25.259920634920636,BHS,2248414.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bangladesh,2001,bgd,136805810,26.08698296836983,BGD,138465280,6,1,0,0,1,0,1,0,0,0,0,2,0,0,1
Barbados,2001,brb,262425,27.052946593001842,BRB,1592812.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,2001,blr,9938065,7.4261796042617965,BLR,83340170,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2001,bel,10287004,10.881887366818875,BEL,151166260,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,2001,blz,248379,27.196428571428573,BLZ,6275607.5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
