Pays,Année,geo,Population,Température,Code,CO2,Catastrophes_totales,Cold wave,Ground movement,Avalanche (wet),Flood (General),Flash flood,Storm (General),Blizzard/Winter storm,Landslide (wet),Heat wave,Forest fire,Tropical cyclone,Severe weather,Hail,Tornado
Pakistan,2004,pak,171286000,24.59593199757134,PAK,318789800,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Panama,2004,pan,3251155,27.67486846177654,PAN,21124648,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peru,2004,per,27852190,19.2103825136612,PER,158185420,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,2004,phl,86394504,27.80980570734669,PHL,199121660,10,0,0,0,0,1,0,0,1,0,0,7,0,0,1
Poland,2004,pol,38167572,8.465695203400122,POL,382709280,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,2004,prt,10481381,17.030898021308982,PRT,77781544,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Qatar,2004,qat,773332,28.174863387978142,QAT,87488730,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2004,rou,21403217,11.065573770491804,ROU,132458060,5,0,0,0,0,1,2,0,0,1,0,0,0,1,0
Russian Federation,2004,rus,145180097,5.271857923497268,RUS,1999549200,5,0,1,0,0,0,0,0,0,0,1,2,0,1,0
Saudi Arabia,2004,sau,19669480,26.41127808136005,SAU,500331400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,2004,sen,10975704,24.541287188828175,SEN,22447314,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sierra Leone,2004,sle,5355717,27.69903381642512,SLE,56481896,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,2004,zaf,48991421,17.040072859744992,ZAF,572923650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,2004,esp,43234566,15.668488160291439,ESP,415476450,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Sri Lanka,2004,lka,20087605,27.242410443230117,LKA,52344108,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,2004,sur,513923,27.35439360929557,SUR,4383715.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,2004,swe,8993808,7.248482088646024,SWE,87768584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,2004,che,7384194,10.060933536276002,CHE,52853500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan (Province of China),2004,twn,22745431,23.039010321797207,TWN,280570200,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Tajikistan,2004,tjk,6790547,16.200516089860354,TJK,8445649,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,2004,tha,65452047,29.279295689131757,THA,383577470,4,0,0,0,0,1,1,0,1,0,0,1,0,0,0
Togo,2004,tgo,5696508,27.227564102564102,TGO,9550967,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,2004,tun,10166163,19.148451730418945,TUN,34697064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkmenistan,2004,tkm,4958093,17.656193078324225,TKM,99308830,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,2004,uga,27154515,22.62657004830918,UGA,46942956,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ukraine,2004,ukr,47979507,8.67425622343655,UKR,400903040,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,2004,are,4428967,28.419398907103826,ARE,149393340,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,2004,usa,292786253,13.57058551459504,USA,7014975000,14,1,0,0,0,0,0,1,0,0,3,5,0,2,2
Uruguay,2004,ury,3283148,16.606102003642988,URY,31427102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,2004,uzb,26029350,16.627504553734063,UZB,188999950,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,2004,zmb,11338198,20.63694366635543,ZMB,70442860,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,2005,alb,3076159,16.006274869911234,ALB,9992214,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Algeria,2005,dza,33109249,17.174124809741247,DZA,201883020,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Argentina,2005,arg,39216789,16.839726027397262,ARG,561961500,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australia,2005,aus,20294490,17.0627397260274,AUS,632908700,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0
Austria,2005,aut,8229204,10.167884322678844,AUT,89018130,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2005,bhs,343894,26.132586367880485,BHS,2221803.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bangladesh,2005,bgd,144715786,25.476120857699808,BGD,149152350,10,0,0,0,0,2,5,0,0,1,0,1,0,0,1
Barbados,2005,brb,268706,27.812176560121767,BRB,1704836.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,2005,blr,9667838,7.302739726027398,BLR,90489496,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2005,bel,10478886,11.189041095890412,BEL,150637330,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Belize,2005,blz,279731,27.604779993668885,BLZ,4452382.5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Benin,2005,ben,8426144,27.539573820395738,BEN,23411922,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2005,bra,184688101,21.92800608828006,BRA,2845960400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bulgaria,2005,bgr,7695050,9.5220700152207,BGR,57139540,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Burundi,2005,bdi,7587299,23.36165577342048,BDI,5380638.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Canada,2005,can,32440173,6.633890119355236,CAN,905438850,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Central African Republic,2005,caf,4288810,25.856574339382362,CAF,30900780,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,2005,chn,1310027136,15.67820395738204,CHN,7667986000,19,0,2,0,0,2,5,0,0,1,0,6,0,2,1
Colombia,2005,col,42128977,13.339269406392695,COL,199753220,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Costa Rica,2005,cri,4261240,22.332420091324202,CRI,13773506,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Croatia,2005,hrv,4313946,11.243531202435312,HRV,22854566,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cuba,2005,cub,11262554,24.42648401826484,CUB,44951124,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cyprus,2005,cyp,1036151,19.127549467275497,CYP,8535591,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,2005,cze,10280153,8.53013698630137,CZE,130695230,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Denmark,2005,dnk,5419555,8.397564687975647,DNK,68278616,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2005,dom,9225034,26.53888888888889,DOM,28541072,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Ecuador,2005,ecu,13846163,20.148554033485542,ECU,73610040,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,2005,egy,81101004,22.24322678843227,EGY,265912720,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2005,eth,78367470,17.876583423814694,ETH,226492270,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Finland,2005,fin,5246082,5.93531202435312,FIN,104572840,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,2005,fra,61625032,12.813366864807195,FRA,480762600,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Gabon,2005,gab,1463495,26.460295475530934,GAB,32975898,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2005,gmb,1667037,26.731555555555556,GMB,2852036.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2005,geo,4026131,13.976258309591644,GEO,4745127,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,2005,deu,82046731,10.113349613349614,DEU,978504260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2005,grc,10981334,17.929680365296804,GRC,131423550,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,2005,gtm,13087629,19.396367521367523,GTM,59001188,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Guinea,2005,gin,9245844,27.803227808814402,GIN,32553424,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,2005,gnb,1381585,NA,GNB,4926571,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,2005,guy,760914,28.92738407699038,GUY,5638041.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2005,hti,9061273,29.827245053272453,HTI,20616824,7,0,0,0,2,0,0,0,0,0,0,5,0,0,0
Honduras,2005,hnd,7478355,22.419648462021343,HND,19570570,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Hungary,2005,hun,10065706,9.084322678843227,HUN,74188100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Iceland,2005,isl,296834,5.208828006088281,ISL,4179507.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,2005,ind,1154676322,26.620700152207004,IND,2243356400,9,0,1,1,0,1,4,0,1,1,0,0,0,0,0
Indonesia,2005,idn,230871650,28.93310657596372,IDN,1316794500,8,0,2,0,0,3,0,0,2,0,1,0,0,0,0
Ireland,2005,irl,4155284,10.137138508371386,IRL,76533760,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,2005,isr,6728206,21.77516544757924,ISR,66409628,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2005,ita,58519693,13.460882800608829,ITA,551274500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,2005,jpn,127913330,13.05093860984272,JPN,1328494000,5,0,2,0,0,0,1,0,0,0,0,2,0,0,0
Jordan,2005,jor,6029587,17.995129375951294,JOR,25141432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,2005,kaz,15968117,9.604414003044141,KAZ,233773260,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kenya,2005,ken,35796484,20.191949434464405,KEN,73153330,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,2005,prk,24396433,9.988821138211383,PRK,104811080,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Republic of Korea,2005,kor,47851644,11.27427701674277,KOR,533677020,5,0,0,0,0,1,1,0,0,0,1,2,0,0,0
Kuwait,2005,kwt,2236788,26.67341927562922,KWT,111253260,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2005,lva,2239784,7.28234398782344,LVA,16402261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lebanon,2005,lbn,4671102,20.918112633181128,LBN,20222304,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,2005,mdg,19159707,18.63150684931507,MDG,77900920,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Malawi,2005,mwi,12840031,NA,MWI,27469248,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malaysia,2005,mys,25836071,28.389041095890413,MYS,305244300,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0
Mauritania,2005,mrt,2939059,25.857783967811823,MRT,11845551,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2005,mex,105811504,21.0001891789633,MEX,760860700,5,0,0,0,1,0,0,0,0,0,0,4,0,0,0
Mongolia,2005,mng,2563461,-1.1441400304414002,MNG,33263052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,2005,mar,30358144,17.207001522070016,MAR,71804570,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mozambique,2005,moz,20304569,23.62822997416021,MOZ,85346920,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myanmar,2005,mmr,47438365,27.99117199391172,MMR,241474380,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Namibia,2005,nam,1966582,21.6264475743349,NAM,15484747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,2005,npl,26309458,20.106218434343436,NPL,45074364,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2005,nzl,4135007,15.828767123287673,NZL,77893336,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nicaragua,2005,nic,5342105,27.544230180593818,NIC,57851068,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Nigeria,2005,nga,145017253,29.334386973180077,NGA,488937540,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,2005,nor,4623124,6.044444444444445,NOR,75109864,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman,2005,omn,2459802,28.4404432132964,OMN,64710256,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,2005,pak,175453212,23.938736681887367,PAK,330999460,5,0,1,1,0,1,1,0,0,1,0,0,0,0,0
Panama,2005,pan,3313026,27.166819291819294,PAN,19681920,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peru,2005,per,28101180,19.059969558599697,PER,153421800,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,2005,phl,88015962,27.87488584474886,PHL,237061820,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Poland,2005,pol,38124379,8.667427701674278,POL,387102300,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Portugal,2005,prt,10502994,17.075854700854702,PRT,80757110,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Qatar,2005,qat,825408,27.976103500761038,QAT,86196970,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2005,rou,21213388,10.828310502283106,ROU,126940700,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Russian Federation,2005,rus,144597884,5.607610350076103,RUS,1963805300,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Saudi Arabia,2005,sau,20559890,26.46742770167428,SAU,510968320,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Senegal,2005,sen,11235472,25.196499238964993,SEN,18242432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2005,sle,5501712,27.808701905789285,SLE,68451030,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
South Africa,2005,zaf,49490033,16.720091324200915,ZAF,536842200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2005,esp,43958885,15.75773718924404,ESP,426566900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sri Lanka,2005,lka,20216524,27.323744292237443,LKA,39267256,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,2005,sur,519313,26.733646322378718,SUR,4168751.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,2005,swe,9029771,7.5727549467275495,SWE,87589590,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,2005,che,7431823,9.832927076985579,CHE,53415910,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan (Province of China),2005,twn,22824931,23.123896499238967,TWN,288219100,5,0,0,0,0,1,0,0,0,0,0,4,0,0,0
Tajikistan,2005,tjk,6924720,15.475038051750381,TJK,9009922,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Thailand,2005,tha,66017420,29.47503805175038,THA,394710180,4,0,0,0,0,1,1,0,0,0,1,1,0,0,0
Togo,2005,tgo,5844631,27.362100456621008,TGO,11655591,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,2005,tun,10255472,19.019482496194826,TUN,36315270,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkmenistan,2005,tkm,5052257,17.979756468797564,TKM,97959096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,2005,uga,27963289,22.42975040257649,UGA,49284332,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,2005,ukr,47585556,8.604109589041096,UKR,405807650,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,2005,are,4664790,28.25129375951294,ARE,153931900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,2005,usa,295716664,13.863337268338565,USA,7090201600,10,0,0,0,0,1,0,2,0,1,1,4,0,0,1
Uruguay,2005,ury,3285771,16.572146118721463,URY,32714140,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Uzbekistan,2005,uzb,26356975,16.16407914764079,UZB,188646480,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zambia,2005,zmb,11718819,21.443055555555556,ZMB,82197790,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,2006,alb,3050809,15.486034376918356,ALB,8008983,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,2006,dza,33623506,18.294672754946728,DZA,200437900,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2006,arg,39622115,17.048858447488584,ARG,578215740,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Australia,2006,aus,20590559,17.041613394216135,AUS,664151800,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0
Austria,2006,aut,8269898,10.686301369863013,AUT,87042910,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2006,bhs,348375,25.985339506172842,BHS,2174798.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,2006,bgd,146405973,26.30866355866356,BGD,155839040,5,0,0,0,0,0,1,0,0,0,0,3,0,0,1
Barbados,2006,brb,270002,27.59391171993912,BRB,1734245.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,2006,blr,9608036,7.31537290715373,BLR,92853016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2006,bel,10548442,11.142161339421614,BEL,148327580,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Belize,2006,blz,287878,27.294871794871796,BLZ,4983264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,2006,ben,8693242,27.826101249178173,BEN,23549608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2006,bra,186653106,21.639167935058346,BRA,2711471400,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bulgaria,2006,bgr,7640294,10.23226788432268,BGR,57304536,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,2006,bdi,7865547,15.551551551551553,BDI,5659467,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0
Canada,2006,can,32759171,7.104764079147641,CAN,885117100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,2006,caf,4377579,25.844822159269754,CAF,30504454,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,2006,chn,1318054036,16.208706240487064,CHN,8351434000,18,0,6,0,0,3,0,1,1,0,0,6,0,1,0
Colombia,2006,col,42691084,13.244505494505495,COL,221453330,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,2006,cri,4321340,22.579147640791476,CRI,13877061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,2006,hrv,4315800,12.34474885844749,HRV,23779306,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,2006,cub,11278550,24.428919330289194,CUB,43747772,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyprus,2006,cyp,1054418,19.07123287671233,CYP,8760923,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,2006,cze,10304588,9.075342465753424,CZE,133002320,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Denmark,2006,dnk,5437420,9.014916286149163,DNK,75209470,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2006,dom,9341183,26.714308785529717,DOM,30311538,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,2006,ecu,14086131,20.012268518518518,ECU,75002110,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,2006,egy,82700403,22.2820395738204,EGY,279317100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2006,eth,80703490,17.715125709651257,ETH,243635870,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Finland,2006,fin,5266247,6.216438356164384,FIN,117401750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,2006,fra,62049838,13.280593607305937,FRA,467878820,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Gabon,2006,gab,1508337,26.48234398782344,GAB,31461572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2006,gmb,1715275,26.091161616161617,GMB,3332217,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2006,geo,3996591,6.242609582059123,GEO,5479699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,2006,deu,81701971,9.53940110323089,DEU,994823360,4,0,0,0,0,0,2,0,0,1,0,0,0,1,0
Greece,2006,grc,11016103,17.872972145699418,GRC,129639430,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Guatemala,2006,gtm,13367459,19.20467032967033,GTM,71458900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,2006,gin,9441171,27.707228535353536,GIN,34698110,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,2006,gnb,1415303,28.097905282331514,GNB,4946420,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,2006,guy,758966,28.459780092592595,GUY,12981838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2006,hti,9216562,29.375,HTI,17076250,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Honduras,2006,hnd,7656832,22.06751652502361,HND,21760576,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2006,hun,10049943,10.01750380517504,HUN,73350720,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Iceland,2006,isl,303874,5.543226788432268,ISL,4345196,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,2006,ind,1172878890,26.94756468797565,IND,2363338000,5,0,0,0,0,3,0,0,0,1,0,1,0,0,0
Indonesia,2006,idn,233951652,29.17872523686477,IDN,1893063000,12,0,3,0,1,4,0,0,3,0,1,0,0,0,0
Ireland,2006,irl,4268778,10.271689497716896,IRL,75119120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,2006,isr,6844032,21.787065180682202,ISR,72730490,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2006,ita,58754433,14.02062404870624,ITA,537847600,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Japan,2006,jpn,127997247,13.462658548959919,JPN,1312630700,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Jordan,2006,jor,6427371,17.92876712328767,JOR,24876464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,2006,kaz,16103716,10.170776255707763,KAZ,261422080,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2006,ken,36904008,20.731255645889792,KEN,74092744,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,2006,prk,24524507,11.018747850017201,PRK,107280616,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Republic of Korea,2006,kor,48006518,12.23439878234399,KOR,538892350,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kuwait,2006,kwt,2364733,27.073059360730596,KWT,113250170,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2006,lva,2219032,7.594368340943684,LVA,13919369,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,2006,lbn,4751136,20.667922159447585,LBN,18469172,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,2006,mdg,19730909,18.571080669710806,MDG,76113464,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Malawi,2006,mwi,13198701,21.05555555555556,MWI,25688212,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Malaysia,2006,mys,26417909,27.588432267884325,MYS,315540670,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mauritania,2006,mrt,3013660,25.705647636586864,MRT,12544085,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico,2006,mex,107253666,20.744602422327542,MEX,779743700,6,1,0,0,0,0,0,0,2,0,0,3,0,0,0
Mongolia,2006,mng,2584756,-0.5598173515981736,MNG,29866370,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,2006,mar,30771178,17.816286149162863,MAR,74729540,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,2006,moz,20787087,23.324882629107982,MOZ,89622840,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
